epoch,train_loss,evaluation_loss,evaluation_accuracy,evaluation_f1,epoch_duration_s,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
23,0.308332185447216,1.0006387531757355,0.6266666666666667,0.6306236559139785,3.660456895828247,1746204346,checkpoint_000023,True,False,24,a69e7_00000,2025-05-02_11-45-47,3.736182689666748,98.57966923713684,22774,CENGR-LVPT2XMWDF,127.0.0.1,98.57966923713684,24
24,0.2883754946291447,0.9886610209941864,0.68,0.6815216201423099,3.6935229301452637,1746204350,checkpoint_000024,True,False,25,a69e7_00000,2025-05-02_11-45-50,3.7838549613952637,102.3635241985321,22774,CENGR-LVPT2XMWDF,127.0.0.1,102.3635241985321,25
25,0.2525375157594681,1.1439033150672913,0.6933333333333334,0.6926938349007314,3.9813742637634277,1746204354,checkpoint_000025,True,False,26,a69e7_00000,2025-05-02_11-45-54,3.8945560455322266,106.25808024406433,22774,CENGR-LVPT2XMWDF,127.0.0.1,106.25808024406433,26
26,0.24824539422988892,1.0679785311222076,0.6,0.606583617976023,3.620300769805908,1746204358,checkpoint_000026,True,False,27,a69e7_00000,2025-05-02_11-45-58,3.897252082824707,110.15533232688904,22774,CENGR-LVPT2XMWDF,127.0.0.1,110.15533232688904,27
27,0.23447132706642151,1.0540511012077332,0.6666666666666666,0.6693719220130877,4.01176905632019,1746204362,checkpoint_000027,True,False,28,a69e7_00000,2025-05-02_11-46-02,3.928325891494751,114.08365821838379,22774,CENGR-LVPT2XMWDF,127.0.0.1,114.08365821838379,28
28,0.2490451917052269,1.0633205771446228,0.6133333333333333,0.6194408602150538,4.1318840980529785,1746204366,checkpoint_000028,True,False,29,a69e7_00000,2025-05-02_11-46-06,4.002906084060669,118.08656430244446,22774,CENGR-LVPT2XMWDF,127.0.0.1,118.08656430244446,29
29,0.22533468529582024,1.3003053665161133,0.6533333333333333,0.6491546362134597,3.731497049331665,1746204370,checkpoint_000029,True,False,30,a69e7_00000,2025-05-02_11-46-10,3.9006359577178955,121.98720026016235,22774,CENGR-LVPT2XMWDF,127.0.0.1,121.98720026016235,30
30,0.23125047236680984,1.2898716926574707,0.64,0.6383506465974136,4.021828889846802,1746204374,checkpoint_000030,True,False,31,a69e7_00000,2025-05-02_11-46-14,3.9726929664611816,125.95989322662354,22774,CENGR-LVPT2XMWDF,127.0.0.1,125.95989322662354,31
31,0.1967782586812973,1.4246549010276794,0.64,0.6428971193415638,4.134442090988159,1746204378,checkpoint_000031,True,False,32,a69e7_00000,2025-05-02_11-46-18,4.240689277648926,130.20058250427246,22774,CENGR-LVPT2XMWDF,127.0.0.1,130.20058250427246,32
32,0.19274380952119827,1.4035520553588867,0.6533333333333333,0.6529009304871374,3.9950551986694336,1746204382,checkpoint_000032,True,False,33,a69e7_00000,2025-05-02_11-46-22,3.8514249324798584,134.05200743675232,22774,CENGR-LVPT2XMWDF,127.0.0.1,134.05200743675232,33
33,0.2150513209402561,1.4785648584365845,0.64,0.6363327859879585,3.911216974258423,1746204386,checkpoint_000033,True,False,34,a69e7_00000,2025-05-02_11-46-26,4.021069765090942,138.07307720184326,22774,CENGR-LVPT2XMWDF,127.0.0.1,138.07307720184326,34
34,0.1856805168092251,1.4581691026687622,0.6666666666666666,0.6695675971538041,4.061489105224609,1746204390,checkpoint_000034,True,False,35,a69e7_00000,2025-05-02_11-46-30,4.003109931945801,142.07618713378906,22774,CENGR-LVPT2XMWDF,127.0.0.1,142.07618713378906,35
35,0.1897891119122505,1.4163894653320312,0.68,0.672719418187583,3.7261390686035156,1746204394,checkpoint_000035,True,False,36,a69e7_00000,2025-05-02_11-46-34,3.8422367572784424,145.9184238910675,22774,CENGR-LVPT2XMWDF,127.0.0.1,145.9184238910675,36
36,0.2004536934196949,1.509034276008606,0.64,0.6395884490342322,3.9110488891601562,1746204398,checkpoint_000036,True,False,37,a69e7_00000,2025-05-02_11-46-38,3.8430919647216797,149.76151585578918,22774,CENGR-LVPT2XMWDF,127.0.0.1,149.76151585578918,37
37,0.20309730842709542,1.361491620540619,0.6666666666666666,0.6680385276917785,3.9044013023376465,1746204402,checkpoint_000037,True,False,38,a69e7_00000,2025-05-02_11-46-44,6.209837913513184,155.97135376930237,22774,CENGR-LVPT2XMWDF,127.0.0.1,155.97135376930237,38
38,0.1999971851706505,1.3652530312538147,0.6666666666666666,0.6598799120147435,6.034143924713135,1746204408,checkpoint_000038,True,False,39,a69e7_00000,2025-05-02_11-46-48,3.845099925994873,159.81645369529724,22774,CENGR-LVPT2XMWDF,127.0.0.1,159.81645369529724,39
39,0.17194370813667775,1.5900492072105408,0.6666666666666666,0.6646159282029538,4.313215970993042,1746204412,checkpoint_000039,True,False,40,a69e7_00000,2025-05-02_11-46-52,4.287815093994141,164.10426878929138,22774,CENGR-LVPT2XMWDF,127.0.0.1,164.10426878929138,40
40,0.20744456052780152,1.3111778497695923,0.6533333333333333,0.65587478500172,4.01374626159668,1746204416,checkpoint_000040,True,False,41,a69e7_00000,2025-05-02_11-46-56,4.292984247207642,168.39725303649902,22774,CENGR-LVPT2XMWDF,127.0.0.1,168.39725303649902,41
41,0.18069907426834106,1.3870943784713745,0.6533333333333333,0.6582988413368159,4.3053367137908936,1746204421,checkpoint_000041,True,False,42,a69e7_00000,2025-05-02_11-47-01,4.146333932876587,172.5435869693756,22774,CENGR-LVPT2XMWDF,127.0.0.1,172.5435869693756,42
42,0.1739656411111355,1.5358132719993591,0.6533333333333333,0.6463693110884121,3.9437291622161865,1746204425,checkpoint_000042,True,False,43,a69e7_00000,2025-05-02_11-47-05,3.9809720516204834,176.5245590209961,22774,CENGR-LVPT2XMWDF,127.0.0.1,176.5245590209961,43
43,0.15780316591262816,1.4525936245918274,0.6533333333333333,0.6525925925925926,4.098735094070435,1746204429,checkpoint_000043,True,False,44,a69e7_00000,2025-05-02_11-47-09,4.134532928466797,180.6590919494629,22774,CENGR-LVPT2XMWDF,127.0.0.1,180.6590919494629,44
44,0.18598891496658326,1.506978690624237,0.6266666666666667,0.627231012356962,4.047102928161621,1746204433,checkpoint_000044,True,False,45,a69e7_00000,2025-05-02_11-47-13,3.9972407817840576,184.65633273124695,22774,CENGR-LVPT2XMWDF,127.0.0.1,184.65633273124695,45
45,0.14680546410381795,1.661527395248413,0.6533333333333333,0.6525925925925926,4.612169027328491,1746204437,checkpoint_000045,True,False,46,a69e7_00000,2025-05-02_11-47-17,4.6478681564331055,189.30420088768005,22774,CENGR-LVPT2XMWDF,127.0.0.1,189.30420088768005,46
46,0.13845117762684822,1.7086260914802551,0.6533333333333333,0.65587478500172,3.977324962615967,1746204441,checkpoint_000046,True,False,47,a69e7_00000,2025-05-02_11-47-21,4.030890941619873,193.33509182929993,22774,CENGR-LVPT2XMWDF,127.0.0.1,193.33509182929993,47
47,0.15864037126302719,1.752659559249878,0.64,0.633856885242653,3.661929130554199,1746204445,checkpoint_000047,True,False,48,a69e7_00000,2025-05-02_11-47-25,3.7641782760620117,197.09927010536194,22774,CENGR-LVPT2XMWDF,127.0.0.1,197.09927010536194,48
48,0.19185277968645095,1.126526117324829,0.6533333333333333,0.6534814814814816,3.879848003387451,1746204449,checkpoint_000048,True,False,49,a69e7_00000,2025-05-02_11-47-29,3.812922954559326,200.91219305992126,22774,CENGR-LVPT2XMWDF,127.0.0.1,200.91219305992126,49
49,0.14961756467819215,1.3694745302200317,0.68,0.6760638029181482,3.9056859016418457,1746204453,checkpoint_000049,True,False,50,a69e7_00000,2025-05-02_11-47-33,3.9428811073303223,204.8550741672516,22774,CENGR-LVPT2XMWDF,127.0.0.1,204.8550741672516,50
